Cast Vote Record	Precinct	Payson City Council 1st Choice Payson City Council	Payson City Council 2nd Choice Payson City Council	Payson City Council 3rd Choice Payson City Council	Payson City Council 4th Choice Payson City Council	Payson City Council 5th Choice Payson City Council
31715	PA08	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31716	PA03	LINDA CARTER	BRIAN V. HULET	undervote	undervote	undervote
31717	PA03	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31718	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31719	PA03	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON
31720	PA03	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
31721	PA03	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
31722	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
31723	PA04	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET
31724	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31725	PA02	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET
31726	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
31727	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
31728	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
31729	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
31730	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	undervote	undervote
31731	PA05	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31732	PA01	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31733	PA07	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	undervote	undervote
31734	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31735	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31736	PA08	overvote	undervote	undervote	undervote	undervote
31737	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER
31738	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER
31739	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
31740	PA04	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
31741	PA02	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON
31742	PA04	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
31743	PA04	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM
31744	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31745	PA04	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
31746	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31747	PA01	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET
31748	PA03	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
31749	PA03	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
31750	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31751	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31752	PA01	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31753	PA01	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL
31754	PA01	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
31755	PA01	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	undervote	undervote
31756	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31757	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31758	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
31759	PA06	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31760	PA04	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31761	PA01	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
31762	PA03	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON
31763	PA05	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31764	PA01	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL
31765	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	undervote
31766	PA02	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL
31767	PA02	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL
31768	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
31769	PA05	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET
31770	PA06	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31771	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31772	PA06	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
31773	PA08	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
31774	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31775	PA03	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	DOUG WELTON
31776	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31777	PA05	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31778	PA01	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31779	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31780	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
31781	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote	undervote
31782	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
31783	PA05	LINDA CARTER	undervote	undervote	undervote	undervote
31784	PA01	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
31785	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31786	PA04	overvote	undervote	undervote	undervote	undervote
31787	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
31788	PA02	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31789	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31790	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31791	PA08	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31792	PA01	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
31793	PA07	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM
31794	PA01	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
31795	PA03	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31796	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31797	PA04	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
31798	PA05	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31799	PA01	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31800	PA01	overvote	DOUG WELTON	undervote	CARY KENNETH STOCKWELL	LINDA CARTER
31801	PA07	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31802	PA08	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM
31803	PA01	overvote	undervote	undervote	undervote	undervote
31804	PA01	overvote	undervote	undervote	undervote	undervote
31805	PA01	SCOTT PINKHAM	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
31806	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31807	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31808	PA03	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
31809	PA03	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31810	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
31811	PA01	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER
31812	PA03	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON
31813	PA03	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
31814	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
31815	PA03	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
31816	PA03	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON	LINDA CARTER	BRIAN V. HULET
31817	PA08	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31818	PA05	LINDA CARTER	undervote	undervote	undervote	undervote
31819	PA05	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
31820	PA03	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
31821	PA03	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31822	PA03	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31823	PA03	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
31824	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	undervote	undervote
31825	PA02	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
31826	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	undervote	undervote	undervote
31827	PA03	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
31828	PA03	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
31829	PA02	LINDA CARTER	undervote	CARY KENNETH STOCKWELL	undervote	undervote
31830	PA02	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER
31831	PA07	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
31832	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31833	PA08	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	undervote	undervote
31834	PA01	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31835	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31836	PA02	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
31837	PA05	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM
31838	PA03	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
31839	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31840	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
31841	PA08	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31842	PA03	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	DOUG WELTON
31843	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
31844	PA05	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
31845	PA05	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
31846	PA04	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
31847	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET
31848	PA08	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
31849	PA06	overvote	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote
32450	PA05	DOUG WELTON	DOUG WELTON	DOUG WELTON	DOUG WELTON	DOUG WELTON
32451	PA01	LINDA CARTER	undervote	undervote	undervote	undervote
32452	PA01	LINDA CARTER	undervote	undervote	undervote	undervote
32453	PA02	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32454	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
32455	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32456	PA02	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32457	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32458	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32459	PA02	BRIAN V. HULET	CARY KENNETH STOCKWELL	LINDA CARTER	SCOTT PINKHAM	DOUG WELTON
32460	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32461	PA02	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32462	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32463	PA03	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32464	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote	undervote
32465	PA08	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	undervote	undervote
32466	PA08	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
32467	PA01	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER
32468	PA01	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
32469	PA03	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER
32470	PA03	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32471	PA03	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32472	PA03	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON
32473	PA03	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL
32474	PA03	overvote	undervote	BRIAN V. HULET	overvote	undervote
32475	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32476	PA03	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
32477	PA03	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET
32478	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	undervote	undervote
32479	PA01	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	undervote
32480	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32481	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32482	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON
32483	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32484	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32485	PA03	LINDA CARTER	DOUG WELTON	undervote	undervote	undervote
32486	PA01	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
32487	PA01	DOUG WELTON	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
32488	PA01	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL
32489	PA01	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL
32490	PA07	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	undervote	undervote
32491	PA03	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	DOUG WELTON
32492	PA02	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
32493	PA04	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	SCOTT PINKHAM
32494	PA02	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
32495	PA04	BRIAN V. HULET	DOUG WELTON	undervote	undervote	undervote
32496	PA01	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET
32497	PA02	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET
32498	PA02	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32499	PA07	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	undervote	undervote
32500	PA08	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET
32501	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32502	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32503	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32504	PA07	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM	LINDA CARTER
32505	PA02	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32506	PA07	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32507	PA01	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	BRIAN V. HULET	CARY KENNETH STOCKWELL
32508	PA01	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL
32509	PA01	SCOTT PINKHAM	BRIAN V. HULET	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL
32510	PA01	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL
32511	PA01	DOUG WELTON	BRIAN V. HULET	undervote	undervote	undervote
32512	PA01	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	undervote	undervote
32513	PA01	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	BRIAN V. HULET	SCOTT PINKHAM
32514	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	undervote	undervote
32515	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32516	PA01	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32517	PA01	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32518	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
32519	PA01	DOUG WELTON	CARY KENNETH STOCKWELL	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM
32520	PA01	overvote	undervote	undervote	overvote	undervote
32521	PA08	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32522	PA06	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	DOUG WELTON
32523	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32524	PA08	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32525	PA08	overvote	overvote	undervote	undervote	undervote
32526	PA05	DOUG WELTON	LINDA CARTER	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
32527	PA05	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON	BRIAN V. HULET	LINDA CARTER
32528	PA05	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER
32529	PA08	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	BRIAN V. HULET	SCOTT PINKHAM
32530	PA04	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL	LINDA CARTER
32531	PA04	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32532	PA02	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32533	PA04	LINDA CARTER	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32534	PA04	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32535	PA04	SCOTT PINKHAM	CARY KENNETH STOCKWELL	BRIAN V. HULET	LINDA CARTER	DOUG WELTON
32536	PA02	BRIAN V. HULET	undervote	undervote	undervote	undervote
32537	PA01	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	undervote	undervote
32538	PA06	LINDA CARTER	CARY KENNETH STOCKWELL	DOUG WELTON	undervote	undervote
32539	PA03	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	CARY KENNETH STOCKWELL
32540	PA08	BRIAN V. HULET	DOUG WELTON	SCOTT PINKHAM	LINDA CARTER	CARY KENNETH STOCKWELL
32541	PA08	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32542	PA03	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
32543	PA03	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER	DOUG WELTON	BRIAN V. HULET
32544	PA03	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32545	PA03	DOUG WELTON	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32546	PA08	DOUG WELTON	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
32547	PA07	DOUG WELTON	SCOTT PINKHAM	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL
32548	PA01	BRIAN V. HULET	undervote	undervote	undervote	undervote
32549	PA04	BRIAN V. HULET	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	LINDA CARTER
32550	PA02	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM	DOUG WELTON
32551	PA02	LINDA CARTER	BRIAN V. HULET	SCOTT PINKHAM	DOUG WELTON	CARY KENNETH STOCKWELL
32552	PA04	BRIAN V. HULET	LINDA CARTER	DOUG WELTON	SCOTT PINKHAM	CARY KENNETH STOCKWELL
32553	PA05	DOUG WELTON	BRIAN V. HULET	LINDA CARTER	CARY KENNETH STOCKWELL	SCOTT PINKHAM
32554	PA05	LINDA CARTER	DOUG WELTON	CARY KENNETH STOCKWELL	SCOTT PINKHAM	BRIAN V. HULET
