Cast Vote Record	Precinct	Vineyard City Council 1st Choice Vineyard City Council	Vineyard City Council 2nd Choice Vineyard City Council	Vineyard City Council 3rd Choice Vineyard City Council	Vineyard City Council 4th Choice Vineyard City Council	Vineyard City Council 5th Choice Vineyard City Council	Vineyard City Council 6th Choice Vineyard City Council	Vineyard City Council 7th Choice Vineyard City Council
65402	VI01	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
65403	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER
65404	VI01	TAY GUDMUNDSON	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	undervote	undervote	undervote
65405	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote
65406	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER
65407	VI01	DAVID LAURET	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER
65408	VI01S2	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
65409	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65410	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65411	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote
65412	VI01	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote
65413	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote
65414	VI01S2	DAVID LAURET	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65415	VI01S2	KEITH KUDER	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote
65416	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	ANTHONY JENKINS
65417	VI01	DAVID LAURET	undervote	undervote	undervote	undervote	undervote	undervote
65418	VI01S2	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON
65419	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	undervote
65420	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	undervote
65421	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
65422	VI01S	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65423	VI01S	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65424	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
65425	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65426	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	undervote	undervote	undervote
65427	VI01	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	undervote	undervote
65428	VI01	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
65429	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
65430	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
65431	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
65432	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ
65433	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS
65434	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER
65435	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON
65436	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65437	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
65438	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote
65439	VI01S2	undervote	undervote	undervote	undervote	undervote	undervote	undervote
65440	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
65441	VI01	KEITH KUDER	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote
65442	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
65443	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
65444	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
65445	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
65446	VI01	CRISTY WELSH	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65447	VI02	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE
65448	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65449	VI02	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE
65450	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote	undervote
65451	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	G. TYCE FLAKE	undervote	undervote
65452	VI01	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote	undervote	undervote
65453	VI01	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
65454	VI01	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
65455	VI01	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65456	VI01S	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
65457	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65458	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	KEITH KUDER	undervote	undervote	undervote
65459	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	undervote	undervote	undervote
65460	VI01	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65461	VI02	TAY GUDMUNDSON	KEITH KUDER	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
65462	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65463	VI01	DAVID LAURET	KEITH KUDER	undervote	undervote	undervote	undervote	undervote
65464	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65465	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
65466	VI01	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER
65467	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH
65468	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote	undervote
65469	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote
65470	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote
65471	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
65472	VI01	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65473	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote	undervote
65474	VI01	CRISTY WELSH	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65475	VI01	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
65476	VI01	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE
65477	VI01	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE	G. TYCE FLAKE
65478	VI01	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote
65479	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65480	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
65481	VI01	G. TYCE FLAKE	DAVID LAURET	CRISTY WELSH	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
65482	VI01S2	DAVID LAURET	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
65483	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	G. TYCE FLAKE	undervote
65484	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote	undervote	undervote
65485	VI01	DAVID LAURET	DAVID LAURET	DAVID LAURET	undervote	undervote	undervote	undervote
65486	VI01S2	DAVID LAURET	CRISTY WELSH	KEITH KUDER	G. TYCE FLAKE	undervote	undervote	undervote
65487	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	undervote
65488	VI01	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	KEITH KUDER
69719	VI01	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON
69720	VI02	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
69721	VI01	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	undervote	undervote	undervote
69722	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
69723	VI01	G. TYCE FLAKE	DAVID LAURET	overvote	overvote	overvote	overvote	overvote
69724	VI01	G. TYCE FLAKE	CRISTY WELSH	KEITH KUDER	TAY GUDMUNDSON	DAVID LAURET	ANTHONY JENKINS	undervote
69725	VI02	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	undervote	undervote
69727	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ
69728	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	undervote
69729	VI01	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH
69730	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
69731	VI02	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	undervote	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE
69732	VI02	G. TYCE FLAKE	KEITH KUDER	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	DAVID LAURET
69733	VI01	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH
69734	VI01	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	KEITH KUDER
69735	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
69737	VI02	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET
69738	VI02	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
69739	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ
69740	VI02	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
69741	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
69742	VI01	TAY GUDMUNDSON	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	undervote	undervote	undervote
69743	VI02	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	G. TYCE FLAKE
69744	VI01	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
69745	VI02	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS	CRISTY WELSH
69746	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	undervote	undervote	undervote	undervote
69747	VI01	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON
69748	VI01	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	KEITH KUDER
69749	VI01	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote	undervote	undervote	undervote	undervote
69750	VI01	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote
69751	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
69752	VI02	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER	ANTHONY JENKINS
69753	VI01	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
69754	VI01	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	CRISTY WELSH	G. TYCE FLAKE
69755	VI02	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	undervote	undervote	undervote
69758	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	undervote
70126	VI02	KEITH KUDER	TAY GUDMUNDSON	CRISTY WELSH	undervote	undervote	undervote	undervote
70268	VI02	CRISTY WELSH	G. TYCE FLAKE	undervote	undervote	undervote	undervote	undervote
82388	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82389	VI01	KEITH KUDER	DAVID LAURET	undervote	undervote	undervote	undervote	undervote
82390	VI01	G. TYCE FLAKE	KEITH KUDER	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET
82391	VI01	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER
82392	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	undervote	undervote	undervote	undervote
82393	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
82394	VI01	ANTHONY JENKINS	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	TAY GUDMUNDSON	KEITH KUDER	G. TYCE FLAKE
82395	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON
82396	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON
82397	VI01	G. TYCE FLAKE	KEITH KUDER	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON
82398	VI01	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON
82399	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	KEITH KUDER
82400	VI01	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote	undervote
82401	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
82402	VI01	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	undervote	undervote	undervote	undervote
82403	VI02	ANTHONY JENKINS	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
82404	VI01	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	TAY GUDMUNDSON	ANTHONY JENKINS	DAVID LAURET	KEITH KUDER
82405	VI01	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	G. TYCE FLAKE	KEITH KUDER
82406	VI02	KEITH KUDER	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS
82407	VI02	KEITH KUDER	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
82408	VI01S	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82409	VI01S	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82410	VI01	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	ANTHONY JENKINS	TAY GUDMUNDSON	DAVID LAURET	KEITH KUDER
82411	VI01	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	CRISTY WELSH	TAY GUDMUNDSON	KEITH KUDER	HECTOR RAFAEL HERNANDEZ
82412	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82413	VI01	DAVID LAURET	G. TYCE FLAKE	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	KEITH KUDER
82414	VI01	DAVID LAURET	CRISTY WELSH	G. TYCE FLAKE	ANTHONY JENKINS	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82415	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82416	VI01	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	KEITH KUDER	TAY GUDMUNDSON
82417	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
82418	VI01	G. TYCE FLAKE	ANTHONY JENKINS	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
82419	VI01	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82420	VI01	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	CRISTY WELSH	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82421	VI01	G. TYCE FLAKE	HECTOR RAFAEL HERNANDEZ	DAVID LAURET	CRISTY WELSH	ANTHONY JENKINS	KEITH KUDER	TAY GUDMUNDSON
82422	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	undervote	undervote	undervote
82423	VI01	CRISTY WELSH	DAVID LAURET	ANTHONY JENKINS	G. TYCE FLAKE	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	undervote
82424	VI01	ANTHONY JENKINS	TAY GUDMUNDSON	CRISTY WELSH	undervote	undervote	undervote	undervote
82425	VI01	TAY GUDMUNDSON	undervote	undervote	undervote	undervote	undervote	CRISTY WELSH
82426	VI01	ANTHONY JENKINS	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82427	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
82428	VI01	CRISTY WELSH	TAY GUDMUNDSON	HECTOR RAFAEL HERNANDEZ	G. TYCE FLAKE	DAVID LAURET	ANTHONY JENKINS	KEITH KUDER
82429	VI01	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	G. TYCE FLAKE	DAVID LAURET	KEITH KUDER	TAY GUDMUNDSON
82430	VI01	G. TYCE FLAKE	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
82431	VI01	CRISTY WELSH	ANTHONY JENKINS	TAY GUDMUNDSON	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82432	VI01	DAVID LAURET	KEITH KUDER	CRISTY WELSH	undervote	undervote	undervote	undervote
82433	VI01	KEITH KUDER	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS	CRISTY WELSH
82434	VI01	KEITH KUDER	HECTOR RAFAEL HERNANDEZ	CRISTY WELSH	TAY GUDMUNDSON	G. TYCE FLAKE	ANTHONY JENKINS	DAVID LAURET
82435	VI01	G. TYCE FLAKE	CRISTY WELSH	DAVID LAURET	TAY GUDMUNDSON	ANTHONY JENKINS	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82436	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
82437	VI01	DAVID LAURET	KEITH KUDER	G. TYCE FLAKE	CRISTY WELSH	HECTOR RAFAEL HERNANDEZ	TAY GUDMUNDSON	ANTHONY JENKINS
82438	VI01	CRISTY WELSH	TAY GUDMUNDSON	ANTHONY JENKINS	G. TYCE FLAKE	DAVID LAURET	HECTOR RAFAEL HERNANDEZ	KEITH KUDER
82439	VI01	DAVID LAURET	CRISTY WELSH	undervote	undervote	undervote	undervote	undervote
